Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777521410,10,,Aggregated,1.000000,0.000000,74,2100,19000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,364,2,73,87634.69626291227,16.538600000785664,3661433.0104999826,342.8269230769231
1777521411,10,,Aggregated,1.000000,0.000000,74,2100,19000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,364,2,73,87634.69626291227,16.538600000785664,3661433.0104999826,342.8269230769231
1777521412,10,,Aggregated,0.900000,0.000000,74,2100,18000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,365,2,74,87394.83247397272,16.538600000785664,3661433.0104999826,342.8054794520548
1777521413,10,,Aggregated,1.000000,0.000000,74,2100,19000,24000,30000,31000,3637000,3658000,3661000,3661000,3661000,367,2,74,86980.93103215264,16.538600000785664,3661433.0104999826,343.0381471389646
1777521414,10,,Aggregated,1.000000,0.000000,74,2100,19000,24000,30000,31000,3637000,3658000,3661000,3661000,3661000,367,2,74,86980.93103215264,16.538600000785664,3661433.0104999826,343.0381471389646
1777521415,10,,Aggregated,1.000000,0.000000,74,2100,18000,24000,30000,31000,3637000,3658000,3661000,3661000,3661000,369,2,74,86509.70959214095,16.538600000785664,3661433.0104999826,342.99457994579944
1777521416,10,,Aggregated,1.000000,0.000000,74,2100,18000,24000,30000,31000,3637000,3658000,3661000,3661000,3661000,369,2,74,86509.70959214095,16.538600000785664,3661433.0104999826,342.99457994579944
1777521417,10,,Aggregated,1.100000,0.000000,74,2100,19000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,370,2,74,86344.99787783786,16.538600000785664,3661433.0104999826,343.2810810810811
1777521418,10,,Aggregated,1.100000,0.000000,74,2100,19000,24000,30000,31000,3637000,3658000,3661000,3661000,3661000,371,2,74,86118.12366792456,16.538600000785664,3661433.0104999826,343.35849056603774
1777521419,10,,Aggregated,1.000000,0.000000,74,2100,20000,24000,30000,31000,3637000,3658000,3661000,3661000,3661000,372,2,74,85939.53609596784,16.538600000785664,3661433.0104999826,343.60483870967744
